Name,Cost of cancelled travel,
,,
,,
Tony Abbott,60282.75,
Bob Baldwin,40,
Bronwyn Bishop,40,
,,
,,
,,
,,
John Cobb,170,
,,
Concetta Fierravanti-Wells,40,
Paul Fletcher,80,
David Gillespie,40,
Luke Hartsuyker,40,
Alex Hawke,40,
,,
Joe Hockey,40,
,,
Barnaby Joyce,80,
Craig Kelly,170,
Russell Matheson,210,
Scott Morrison,320,
Fiona Nash,40,
,,
Marise Payne,200,
,,
Philip Ruddock,250,
Fiona Scott,80,
Arthur Sinodinos,120,
Ann Sudmalis,40,
Angus Taylor,40,
,,
Malcolm Turnbull,80,
Nickolas Varvaris,80,
John Williams,40,
Natasha Griggs,40,
Nigel Scullion,160,
Karen Andrews,120,
George Brandis,376.33,
Scott Buchholz,80,
,,
Matthew Canavan,240,
George Christensen,120,
Steve Ciobo,80,
Peter Dutton,120,
Teresa Gambaro,40,
,,
Andrew Laming,47.5,
,,
Ian Macfarlane,80,
James McGrath,40,
,,
,,
Stuart Robert ,40,
Wyatt Roy,40,
Warren Truss,40,
Ross Vasta,80,
,,
Simon Birmingham,80,
Jamie Briggs,40,
,,
,,
Sean Edwards,40,
,,
David Fawcett,40,
,,
Tony Pasin,40,
Christopher Pyne,200,
Anne Ruston,280,
Andrew Southcott,80,
Matt Williams,40,
,,
David Bushby,40,
,,
Stephen Parry,523.32,
,,
,,
Kevin Andrews,160,
Bruce Billson,633,
Andrew Broad,40,
,,
,,
Darren Chester,40,
,,
,,
,,
,,
,,
Mitch Fifield,40,
Josh Frydenberg,280,
,,
Greg Hunt,120,
,,
,,
Bridget McKenzie,80,
,,
,,
Andrew Robb,24007.11,
Michael Ronaldson,3661.66,
Scott Ryan,160,
,,
Sharman Stone,842.5,
Dan Tehan,40,
Alan Tudge,120,
,,
Julie Bishop,80,
Michaelia Cash,1821,
Mathias Cormann,80,
David Johnston,40,
Michael Keenan,40,
,,
,,
Nola Marino,40,
,,
,,
,,
Rick Wilson,40,
Ken Wyatt,40,98115.17
